Switch,Output,Freq,Ref,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1,100,100,26,0x002007B0,0x013B13B1,0x06915552,0x00000003,0x3400A784,0x00800025,0x35C34476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
2,144.1,144.1,26,0x00200580,0x0AD4AD41,0xAD4BFFF2,0x00000003,0x3400A784,0x00800025,0x35A48476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
3,432.1,432.1,26,0x00200420,0x07A17A11,0x7A17FFF2,0x00000003,0x3400A784,0x00800025,0x35660476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
4,1296.1,1296.1,26,0x00200630,0x0B333331,0x3337FFF2,0x00000003,0x3400A784,0x00800025,0x35440476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
5,2320.1,2320.1,26,0x00200590,0x03C0FC01,0x54055552,0x00000003,0x3400A784,0x00800025,0x35248476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
6,2400.1,2400.1,26,0x002005C0,0x04FC0FC1,0x05415552,0x00000003,0x3400A784,0x00800025,0x35246476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
7,3400.1,3400.1,26,0x00200410,0x062F42F1,0x42F7FFF2,0x00000003,0x3400A784,0x00800025,0x35062476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
8,5760.1,5760.1,26,0x002006E0,0x0C56A561,0xA56BFFF2,0x00000003,0x3400A784,0x00800025,0x3503A476,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
9,10368.1,10368.1,26,0x00200630,0x0B17A171,0xA17BFFF2,0x00000003,0x3400A784,0x00800025,0x35040036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
10,24048.1,8016.033,26,0x002004D0,0x013C63C1,0x00C80812,0x00000003,0x3400A784,0x00800025,0x35054036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
11,47088.1,9417.62,26,0x002005A0,0x08DD5761,0xF107FFF2,0x00000003,0x3400A784,0x00800025,0x35046036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
12,75.9762,10.85374286,26,0x00200680,0x05CE7CE1,0xF2E7FFF2,0x00000003,0x3400A784,0x00800025,0x3503E036,0x120000E7,0x102D0428,0x1615FCC9,0x00C020BA,0x0061300B,0x0001041C
,,,,,,,,,,,,,,,,
Switch,Output,Freq,Ref,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1,100,100,10,0x00201400,0x00000001,0x00000012,0x00000003,0x3400A784,0x00800025,35C14476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
2,144.1,144.1,10,0x00200E60,0x08F5C281,0xF5C3FFF2,0x00000003,0x3400A784,0x00800025,0x35A1C476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
3,432.1,432.1,10,0x00200AC0,0x0D70A3D1,0x258D5552,0x00000003,0x3400A784,0x00800025,0x35626476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
4,1296.1,1296.1,10,0x00201030,0x03851EB1,0x851FFFF2,0x00000003,0x3400A784,0x00800025,0x35418476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
5,2320.1,2320.1,10,0x00200E80,0x0028F5C1,0x28F7FFF2,0x00000003,0x3400A784,0x00800025,0x3521C476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
6,2400.1,2400.1,10,0x00200F00,0x0028F5C1,0x28F7FFF2,0x00000003,0x3400A784,0x00800025,0x3521A476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
7,3400.1,3400.1,10,0x00200AA0,0x00147AE1,0x06D55552,0x00000003,0x3400A784,0x00800025,0x35026476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
8,5760.1,5760.1,10,0x00201200,0x00147AE1,0x06D55552,0x00000003,0x3400A784,0x00800025,0x35016476,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
9,10368.1,10368.1,10,0x00201030,0x033D70A1,0x3D73FFF2,0x00000003,0x3400A784,0x00800025,0x35018036,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
10,24048.1,8016.033,10,0x00200C80,0x0669D031,0x6863FFF2,0x00000003,0x3400A784,0x00800025,0x35020036,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
11,47088.1,9417.62,10,0x00200EB0,0x070C49B1,0xA5E3FFF2,0x00000003,0x3400A784,0x00800025,0x3501C036,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
12,75.9762,10.85374286,10,0x002010F0,0x057F44D1,0x4457FFF2,0x00000003,0x3400A784,0x00800025,0x35018036,0x120000E7,0x102D0428,0x0908BCC9,0x00C00CBA,0x0061300B,0x0001041C
`,,,,,,,,,,,,,,,,
Switch,Output,Freq,Ref,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1,100,100,25,0x00200800,0x00000001,0x00000012,0x00000003,0x3400A784,0x00800025,0x35C32476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
2,144.1,144.1,25,0x002005C0,0x03958101,0x20C55552,0x00000003,0x3400A784,0x00800025,0x35A46476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
3,432.1,432.1,25,0x00200450,0x022D0E51,0x6043FFF2,0x00000003,0x3400A784,0x00800025,0x3565C476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
4,1296.1,1296.1,25,0x00200670,0x0B020C41,0x9BA7FFF2,0x00000003,0x3400A784,0x00800025,0x3543E476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
5,2320.1,2320.1,25,0x002005C0,0x0CDD2F11,0x38A95552,0x00000003,0x3400A784,0x00800025,0x35244476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
6,2400.1,2400.1,25,0x00200600,0x00106241,0xDD2FFFF2,0x00000003,0x3400A784,0x00800025,0x35242476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
7,3400.1,3400.1,25,0x00200440,0x00083121,0x24DD5552,0x00000003,0x3400A784,0x00800025,0x3505E476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
8,5760.1,5760.1,25,0x00200730,0x033B6451,0xA1CBFFF2,0x00000003,0x3400A784,0x00800025,0x35038476,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
9,10368.1,10368.1,25,0x00200670,0x0AE56041,0x1897FFF2,0x00000003,0x3400A784,0x00800025,0x3503E036,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
10,24048.1,8016.033,25,0x00200500,0x0290B9A1,0xF68BFFF2,0x00000003,0x3400A784,0x00800025,0x35050036,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
11,47088.1,9417.62,25,0x002005E0,0x02D1B711,0x758FFFF2,0x00000003,0x3400A784,0x00800025,0x35044036,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
12,75.9762,10.85374286,25,0x002006C0,0x08994EB1,0xB4EFFFF2,0x00000003,0x3400A784,0x00800025,0x3503A036,0x120000E7,0x102D0428,0x15153CC9,0x00C01F7A,0x0061300B,0x0001041C
